user_state_degrees,converted_hamiltonian_state,reconstructed_omega_rad_per_s,expected_omega_rad_per_s,max_abs_reconstructed_omega_error,case_name,solver_config,method,rtol,atol
"[5.0,7.0,0.0,0.0]","[0.08726646259971647,0.12217304763960307,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,low_energy_small_angles,solve_ivp_default,solve_ivp_default,,
"[5.0,7.0,0.0,0.0]","[0.08726646259971647,0.12217304763960307,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,low_energy_small_angles,rk45_strict,RK45,1e-08,1e-10
"[5.0,7.0,0.0,0.0]","[0.08726646259971647,0.12217304763960307,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,low_energy_small_angles,dop853_moderate,DOP853,1e-06,1e-08
"[5.0,7.0,0.0,0.0]","[0.08726646259971647,0.12217304763960307,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11
"[5.0,7.0,0.0,0.0]","[0.08726646259971647,0.12217304763960307,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13
"[0.0,60.0,0.0,0.0]","[0.0,1.0471975511965976,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,screenshot_like_simple_start,solve_ivp_default,solve_ivp_default,,
"[0.0,60.0,0.0,0.0]","[0.0,1.0471975511965976,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,screenshot_like_simple_start,rk45_strict,RK45,1e-08,1e-10
"[0.0,60.0,0.0,0.0]","[0.0,1.0471975511965976,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,screenshot_like_simple_start,dop853_moderate,DOP853,1e-06,1e-08
"[0.0,60.0,0.0,0.0]","[0.0,1.0471975511965976,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,screenshot_like_simple_start,dop853_strict,DOP853,1e-09,1e-11
"[0.0,60.0,0.0,0.0]","[0.0,1.0471975511965976,0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,screenshot_like_simple_start,dop853_reference,DOP853,1e-11,1e-13
"[90.0,0.0,572.95,-458.37]","[1.5707963267948966,0.0,39.999455797206046,-18.00014780782442]","[9.999863949301512,-8.000065692366409]","[9.999863949301512,-8.000065692366409]",0.0,nonzero_velocity_spirograph,solve_ivp_default,solve_ivp_default,,
"[90.0,0.0,572.95,-458.37]","[1.5707963267948966,0.0,39.999455797206046,-18.00014780782442]","[9.999863949301512,-8.000065692366409]","[9.999863949301512,-8.000065692366409]",0.0,nonzero_velocity_spirograph,rk45_strict,RK45,1e-08,1e-10
"[90.0,0.0,572.95,-458.37]","[1.5707963267948966,0.0,39.999455797206046,-18.00014780782442]","[9.999863949301512,-8.000065692366409]","[9.999863949301512,-8.000065692366409]",0.0,nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08
"[90.0,0.0,572.95,-458.37]","[1.5707963267948966,0.0,39.999455797206046,-18.00014780782442]","[9.999863949301512,-8.000065692366409]","[9.999863949301512,-8.000065692366409]",0.0,nonzero_velocity_spirograph,dop853_strict,DOP853,1e-09,1e-11
"[90.0,0.0,572.95,-458.37]","[1.5707963267948966,0.0,39.999455797206046,-18.00014780782442]","[9.999863949301512,-8.000065692366409]","[9.999863949301512,-8.000065692366409]",0.0,nonzero_velocity_spirograph,dop853_reference,DOP853,1e-11,1e-13
"[120.0,-120.0,120.0,-90.0]","[2.0943951023931953,-2.0943951023931953,4.97418836818384,-2.617993877991495]","[2.0943951023931957,-1.5707963267948961]","[2.0943951023931953,-1.5707963267948966]",4.440892098500626e-16,higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,
"[120.0,-120.0,120.0,-90.0]","[2.0943951023931953,-2.0943951023931953,4.97418836818384,-2.617993877991495]","[2.0943951023931957,-1.5707963267948961]","[2.0943951023931953,-1.5707963267948966]",4.440892098500626e-16,higher_energy_wide_swing,rk45_strict,RK45,1e-08,1e-10
"[120.0,-120.0,120.0,-90.0]","[2.0943951023931953,-2.0943951023931953,4.97418836818384,-2.617993877991495]","[2.0943951023931957,-1.5707963267948961]","[2.0943951023931953,-1.5707963267948966]",4.440892098500626e-16,higher_energy_wide_swing,dop853_moderate,DOP853,1e-06,1e-08
"[120.0,-120.0,120.0,-90.0]","[2.0943951023931953,-2.0943951023931953,4.97418836818384,-2.617993877991495]","[2.0943951023931957,-1.5707963267948961]","[2.0943951023931953,-1.5707963267948966]",4.440892098500626e-16,higher_energy_wide_swing,dop853_strict,DOP853,1e-09,1e-11
"[120.0,-120.0,120.0,-90.0]","[2.0943951023931953,-2.0943951023931953,4.97418836818384,-2.617993877991495]","[2.0943951023931957,-1.5707963267948961]","[2.0943951023931953,-1.5707963267948966]",4.440892098500626e-16,higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13
