case_name,case_description,solver_config,method,rtol,atol,duration_s,sample_count_requested,sample_count_compared,initial_conditions_user_units,parameters,lagrangian_solver_success,lagrangian_solver_status,lagrangian_solver_message,lagrangian_nfev,lagrangian_runtime_s,hamiltonian_solver_success,hamiltonian_solver_status,hamiltonian_solver_message,hamiltonian_nfev,hamiltonian_runtime_s,max_abs_theta_diff_rad,max_abs_theta_diff_deg,final_theta_diff_rad,final_theta_diff_deg,max_bob_position_abs_diff,divergence_time_s_by_theta_threshold_rad,lagrangian_max_abs_energy_drift,hamiltonian_max_abs_energy_drift,lagrangian_final_energy_drift,hamiltonian_final_energy_drift
low_energy_small_angles,Small angles released from rest; expected to be comparatively benign.,solve_ivp_default,solve_ivp_default,,,4.0,800,800,"[5.0,7.0,0.0,0.0]","{""g"":9.81,""l1"":1.0,""l2"":1.0,""m1"":1.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,92,2.0626357909932267,True,0,The solver successfully reached the end of the integration interval.,86,0.3455450409965124,0.00020562123414867572,0.011781228894990397,"[5.4762034716049346e-05,-8.73492366082057e-05]","[0.003137633466778523,-0.0050047426013398125]",0.00015890366369876452,"{""0.001"":null,""0.01"":null,""0.1"":null}",9.831632130996582e-05,0.00010071760718588507,-6.951959993273249e-05,-4.872075315631719e-05
low_energy_small_angles,Small angles released from rest; expected to be comparatively benign.,rk45_strict,RK45,1e-08,1e-10,4.0,800,800,"[5.0,7.0,0.0,0.0]","{""g"":9.81,""l1"":1.0,""l2"":1.0,""m1"":1.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,722,0.02331091699306853,True,0,The solver successfully reached the end of the integration interval.,722,0.03537520801182836,3.266163173254455e-10,1.8713736502853656e-08,"[-1.3362858042320624e-10,-5.235809008574677e-11]","[-7.656353680574214e-09,-2.9998975852790484e-09]",4.6355153049404407e-10,"{""0.001"":null,""0.01"":null,""0.1"":null}",3.5367477835279715e-09,3.822709260248303e-09,-3.5367477835279715e-09,-3.822709260248303e-09
low_energy_small_angles,Small angles released from rest; expected to be comparatively benign.,dop853_strict,DOP853,1e-09,1e-11,4.0,800,800,"[5.0,7.0,0.0,0.0]","{""g"":9.81,""l1"":1.0,""l2"":1.0,""m1"":1.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,521,0.020686417003162205,True,0,The solver successfully reached the end of the integration interval.,416,0.03308916700189002,8.674636009509129e-10,4.970200321570793e-08,"[1.2725621945097743e-10,-1.8096055209859685e-10]","[7.29124429133162e-09,-1.0368275893606851e-08]",6.038422262211185e-10,"{""0.001"":null,""0.01"":null,""0.1"":null}",4.2218317730657873e-10,4.813145437765343e-10,-8.37374614093278e-12,-2.1472601474670228e-11
low_energy_small_angles,Small angles released from rest; expected to be comparatively benign.,dop853_reference,DOP853,1e-11,1e-13,4.0,800,800,"[5.0,7.0,0.0,0.0]","{""g"":9.81,""l1"":1.0,""l2"":1.0,""m1"":1.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,788,0.024792792013613507,True,0,The solver successfully reached the end of the integration interval.,701,0.03916283301077783,1.0185269294638033e-11,5.835729437869483e-10,"[1.5418083476603783e-12,-2.156191891700132e-12]","[8.833911113897881e-11,-1.2354069521474665e-10]",6.227532378666467e-12,"{""0.001"":null,""0.01"":null,""0.1"":null}",4.192202140984591e-12,4.288125410312205e-12,-5.684341886080802e-14,-1.1723955140041653e-13
screenshot_like_simple_start,App preset-style simple case mentioned in historical discrepancy notes.,solve_ivp_default,solve_ivp_default,,,4.0,800,800,"[0.0,60.0,0.0,0.0]","{""g"":9.81,""l1"":1.0,""l2"":1.0,""m1"":1.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,242,0.02196437501697801,True,0,The solver successfully reached the end of the integration interval.,248,0.032257124985335395,0.09527861102921231,5.459062289842482,"[-0.05499453985495484,0.08335116245799636]","[-3.1509550299529105,4.775669826352464]",0.06452910786307783,"{""0.001"":0.425531914893617,""0.01"":2.002503128911139,""0.1"":null}",0.31062886810795476,0.039412920680543806,0.3105159668008213,0.009587091225444766
screenshot_like_simple_start,App preset-style simple case mentioned in historical discrepancy notes.,rk45_strict,RK45,1e-08,1e-10,4.0,800,800,"[0.0,60.0,0.0,0.0]","{""g"":9.81,""l1"":1.0,""l2"":1.0,""m1"":1.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,1622,0.033338792010908946,True,0,The solver successfully reached the end of the integration interval.,1562,0.05120387498755008,2.432004919672437e-08,1.3934361765228343e-06,"[-1.1238435737581653e-08,1.2690949471871882e-08]","[-6.439149360924231e-07,7.271378427520399e-07]",1.4653526947405737e-08,"{""0.001"":null,""0.01"":null,""0.1"":null}",2.290691085704566e-07,1.940072031914042e-07,-5.0528583983577846e-08,-1.0845293729744299e-07
screenshot_like_simple_start,App preset-style simple case mentioned in historical discrepancy notes.,dop853_strict,DOP853,1e-09,1e-11,4.0,800,800,"[0.0,60.0,0.0,0.0]","{""g"":9.81,""l1"":1.0,""l2"":1.0,""m1"":1.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,2045,0.03314729200792499,True,0,The solver successfully reached the end of the integration interval.,1727,0.04688033298589289,1.430320917261696e-09,8.19513519083758e-08,"[-3.3327751669531835e-10,4.6082246352163736e-10]","[-1.9095395113242574e-08,2.6403182264611157e-08]",8.700128950600572e-10,"{""0.001"":null,""0.01"":null,""0.1"":null}",8.10057798616981e-09,1.1013295164730152e-08,-2.5126567493316543e-10,-1.632280088870175e-09
screenshot_like_simple_start,App preset-style simple case mentioned in historical discrepancy notes.,dop853_reference,DOP853,1e-11,1e-13,4.0,800,800,"[0.0,60.0,0.0,0.0]","{""g"":9.81,""l1"":1.0,""l2"":1.0,""m1"":1.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,3482,0.04256379199796356,True,0,The solver successfully reached the end of the integration interval.,2723,0.05364570798701607,1.611905053877649e-11,9.235535656299687e-10,"[-3.789857316860434e-12,5.620365284286777e-12]","[-2.1714282921287722e-10,3.220232101114774e-10]",9.556667956989173e-12,"{""0.001"":null,""0.01"":null,""0.1"":null}",1.219966350163304e-10,1.270272775855119e-10,-9.880096740744193e-12,-1.594813170413545e-11
nonzero_velocity_spirograph,Historical nonzero angular-velocity example using non-unity lengths/masses.,solve_ivp_default,solve_ivp_default,,,1.0,400,400,"[90.0,0.0,572.95,-458.37]","{""g"":9.81,""l1"":1.0,""l2"":1.5,""m1"":3.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,116,0.023012459016172215,True,0,The solver successfully reached the end of the integration interval.,116,0.037551875022472814,0.03551135035576625,2.0346505001958004,"[0.031825820271789595,-0.03551135035576625]","[1.8234851811154424,-2.0346505001958004]",0.035294871059870836,"{""0.001"":0.20802005012531327,""0.01"":0.5839598997493733,""0.1"":null}",9.454595849046768,3.0670705261961757,7.5586659159197325,2.063713622454145
nonzero_velocity_spirograph,Historical nonzero angular-velocity example using non-unity lengths/masses.,rk45_strict,RK45,1e-08,1e-10,1.0,400,400,"[90.0,0.0,572.95,-458.37]","{""g"":9.81,""l1"":1.0,""l2"":1.5,""m1"":3.0,""m2"":1.0}",True,0,The solver successfully reached the end of the integration interval.,722,0.02270108400261961,True,0,The solver successfully reached the end of the integration interval.,734,0.03562554199015722,2.1776951442120662e-07,1.2477274082948456e-05,"[1.432880480933818e-08,-2.1183831577786805e-07]","[8.20980041041834e-07,-1.2137441433231436e-05]",3.1091476337952173e-07,"{""0.001"":null,""0.01"":null,""0.1"":null}",6.587538985058927e-05,1.8676317722565727e-05,3.6674384773505153e-07,-3.396621707452141e-06
