case_name,solver_config,solver_method,rtol,atol,t,lagrangian_theta1_rad,lagrangian_theta2_rad,hamiltonian_theta1_rad,hamiltonian_theta2_rad,abs_theta1_diff_rad,abs_theta2_diff_rad,max_abs_theta_diff_rad,lagrangian_x2,lagrangian_y2,hamiltonian_x2,hamiltonian_y2,abs_x2_diff,abs_y2_diff,second_bob_position_diff,max_bob_position_abs_diff,lagrangian_energy,lagrangian_energy_abs_drift,lagrangian_energy_signed_drift,lagrangian_energy_relative_drift,hamiltonian_energy,hamiltonian_energy_abs_drift,hamiltonian_energy_signed_drift,hamiltonian_energy_relative_drift
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.0,2.0943951023931953,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,21.980125461912998,0.0,0.0,0.0,21.980125461912998,0.0,0.0,0.0
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.00333889816360601,2.101348361830025,-2.099633303327149,2.1013483618300226,-2.0996333033271517,2.220446049250313e-15,2.6645352591003757e-15,2.6645352591003757e-15,-0.0008665670491360133,1.0105390985451415,-0.0008665670491334598,1.010539098545142,2.55351295663786e-15,4.440892098500626e-16,2.5918417478740246e-15,2.55351295663786e-15,21.980125461912998,0.0,0.0,0.0,21.98012546191298,1.7763568394002505e-14,-1.7763568394002505e-14,-8.081650136521326e-16
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.00667779632721202,2.1082226733090375,-2.104857401864887,2.108222673309021,-2.10485740186491,1.6431300764452317e-14,2.3092638912203256e-14,2.3092638912203256e-14,-0.0017179052763065528,1.0209599335660415,-0.0017179052762863467,1.0209599335660473,2.020605904817785e-14,5.773159728050814e-15,2.101461861428938e-14,2.020605904817785e-14,21.980125461913033,3.552713678800501e-14,3.552713678800501e-14,1.6163300273042652e-15,21.980125461912927,7.105427357601002e-14,-7.105427357601002e-14,-3.2326600546085305e-15
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.01001669449081803,2.115018726722971,-2.1100658527209997,2.1150187267229508,-2.110065852721024,2.042810365310288e-14,2.4424906541753444e-14,2.4424906541753444e-14,-0.0025538613564415336,1.0312623073795173,-0.002553861356418441,1.0312623073795206,2.3092638912203256e-14,3.3306690738754696e-15,2.3331595067827542e-14,2.3092638912203256e-14,21.980125461913048,4.973799150320701e-14,4.973799150320701e-14,2.2628620382259712e-15,21.980125461912813,1.8474111129762605e-13,-1.8474111129762605e-13,-8.40491614198218e-15
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.01335559265442404,2.121737178276786,-2.1152571421027164,2.1217371782768164,-2.1152571421026694,3.019806626980426e-14,4.707345624410664e-14,4.707345624410664e-14,-0.0033743158139951657,1.0414460400550212,-0.0033743158140352447,1.0414460400550065,4.007905118896815e-14,1.4654943925052066e-14,4.2674321619146444e-14,4.007905118896815e-14,21.980125461913005,7.105427357601002e-15,7.105427357601002e-15,3.2326600546085304e-16,21.98012546191292,7.815970093361102e-14,-7.815970093361102e-14,-3.5559260600693836e-15
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.01669449081803005,2.128378651288594,-2.1204297867495465,2.1283786512885934,-2.120429786749556,4.440892098500626e-16,9.325873406851315e-15,9.325873406851315e-15,-0.004179181131926835,1.0515109690036295,-0.0041791811319216166,1.051510969003637,5.218048215738236e-15,7.549516567451064e-15,9.177321373036202e-15,7.549516567451064e-15,21.980125461912994,3.552713678800501e-15,-3.552713678800501e-15,-1.6163300273042652e-16,21.980125461912994,3.552713678800501e-15,-3.552713678800501e-15,-1.6163300273042652e-16
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.02003338898163606,2.134943736993135,-2.1255823329816455,2.134943736992855,-2.125582332982088,2.802202914153895e-13,4.4275694222051243e-13,4.4275694222051243e-13,-0.00496839995243703,1.0614569485749854,-0.004968399952054003,1.061456948575125,3.83026943495679e-13,1.396660564978447e-13,4.0769626780398814e-13,3.83026943495679e-13,21.980125461914085,1.0871303857129533e-12,1.0871303857129533e-12,4.945969883551051e-14,21.980125461912884,1.1368683772161603e-13,-1.1368683772161603e-13,-5.172256087373649e-15
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.02337228714524207,2.1414329953452262,-2.130713355761027,2.1414329953440703,-2.1307133557630142,1.155964213239713e-12,1.9872992140790302e-12,1.9872992140790302e-12,-0.00574194336469569,1.071283849662123,-0.005741943363015811,1.071283849662834,1.6798784585603244e-12,7.109868249699502e-13,1.8241419629008763e-12,1.6798784585603244e-12,21.98012546191385,8.526512829121202e-13,8.526512829121202e-13,3.879192065530236e-14,21.980125461890108,2.2890134232511627e-11,-2.2890134232511627e-11,-1.041401436592138e-12
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.02671118530884808,2.147846955824315,-2.135821457763821,2.147846955822763,-2.1358214577661983,1.5520917884259688e-12,2.377209540327385e-12,2.377209540327385e-12,-0.0064998092796778595,1.0809915593123196,-0.006499809277558222,1.0809915593130266,2.119637798614349e-12,7.069900220812997e-13,2.234434892458762e-12,2.119637798614349e-12,21.980125461914902,1.9042545318370685e-12,1.9042545318370685e-12,8.663528946350861e-14,21.980125461881407,3.1590730031894054e-11,-3.1590730031894054e-11,-1.4372406602789526e-12
higher_energy_wide_swing,dop853_reference,DOP853,1e-11,1e-13,0.03005008347245409,2.154186118233057,-2.1409052684748326,2.154186118231069,-2.1409052684773924,1.9877433032888803e-12,2.559730205575761e-12,2.559730205575761e-12,-0.007242020880688926,1.0905799803463543,-0.007242020878212463,1.0905799803468503,2.476463478728874e-12,4.960476474025199e-13,2.5256552872416083e-12,2.476463478728874e-12,21.980125461918465,5.467626351673971e-12,5.467626351673971e-12,2.487531912021264e-13,21.98012546189131,2.1689317009077058e-11,-2.1689317009077058e-11,-9.867694816692539e-13
