case_name,solver_config,solver_method,rtol,atol,t,lagrangian_theta1_rad,lagrangian_theta2_rad,hamiltonian_theta1_rad,hamiltonian_theta2_rad,abs_theta1_diff_rad,abs_theta2_diff_rad,max_abs_theta_diff_rad,lagrangian_x2,lagrangian_y2,hamiltonian_x2,hamiltonian_y2,abs_x2_diff,abs_y2_diff,second_bob_position_diff,max_bob_position_abs_diff,lagrangian_energy,lagrangian_energy_abs_drift,lagrangian_energy_signed_drift,lagrangian_energy_relative_drift,hamiltonian_energy,hamiltonian_energy_abs_drift,hamiltonian_energy_signed_drift,hamiltonian_energy_relative_drift
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.0,2.0943951023931953,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,21.980125461912998,0.0,0.0,0.0,21.980125461912998,0.0,0.0,0.0
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.00333889816360601,2.1013483807273783,-2.099633281461752,2.1013484013396164,-2.099633266973186,2.061223813853985e-08,1.448856590258174e-08,2.061223813853985e-08,-0.0008665876431160902,1.010539095966173,-0.0008666053830154175,1.0105391012354552,1.7739899327295916e-08,5.269282121744823e-09,1.8505927758994785e-08,1.7778629568532267e-08,21.9801258089497,3.47036703374215e-07,3.47036703374215e-07,1.5788658894397928e-08,21.980126110338883,6.484258854300151e-07,6.484258854300151e-07,2.95005543327586e-08
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.00667779632721202,2.1082227335866,-2.1048573319837094,2.1082228059675576,-2.104857281791529,7.238095767192476e-08,5.0192180189867486e-08,7.238095767192476e-08,-0.0017179717058400934,1.0209599251962056,-0.0017180343090777983,1.0209599441707788,6.260323770490572e-08,1.897457324595564e-08,6.541559295002274e-08,6.260323770490572e-08,21.98012654389815,1.0819851539167757e-06,1.0819851539167757e-06,4.922561319277416e-08,21.980127633138835,2.171225837344082e-06,2.171225837344082e-06,9.878132138537454e-08
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.01001669449081803,2.1150188327448696,-2.1100657294401954,2.115018974387937,-2.110065632792912,1.4164306749719913e-07,9.664728350955443e-08,1.4164306749719913e-07,-0.0025539795554363476,1.031262292299154,-0.002554102520845758,1.0312623305475586,1.2296540941036938e-07,3.8248404665708335e-08,1.2877667634681187e-07,1.2296540941036938e-07,21.980127316040704,1.8541277064798578e-06,1.8541277064798578e-06,8.43547371780328e-08,21.980129503795265,4.041882267102892e-06,4.041882267102892e-06,1.8388804350123644e-07
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.01335559265442404,2.121737322116549,-2.1152569741041964,2.1217375387705615,-2.115256829141124,2.1665401250814398e-07,1.4496307265687847e-07,2.1665401250814398e-07,-0.0033744781285393044,1.041446018904085,-0.0033746666291992744,1.0414460794978888,1.8850065997000343e-07,6.059380375234014e-08,1.9800027237936812e-07,1.8850065997000343e-07,21.98012790018044,2.4382674439493712e-06,2.4382674439493712e-06,1.1093055170109849e-07,21.98013132720658,5.865293580598063e-06,5.865293580598063e-06,2.6684531854749424e-07
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.01669449081803005,2.1283788177563507,-2.1204295910405557,2.1283791053441234,-2.1204294032190556,2.8758777270709857e-07,1.87821500130525e-07,2.8758777270709857e-07,-0.004179371449475777,1.0515109433734438,-0.004179621735824979,1.0515110272437886,2.50286349201545e-07,8.387034489132361e-08,2.639649434088309e-07,2.50286349201545e-07,21.980128174125284,2.7122122858713738e-06,2.7122122858713738e-06,1.233938491648319e-07,21.98013282529458,7.363381580915984e-06,7.363381580915984e-06,3.350017994062499e-07
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.02003338898163606,2.13494390785934,-2.1255821301059763,2.134944254396204,-2.125581910628702,3.465368640931388e-07,2.1947727413262896e-07,3.465368640931388e-07,-0.0049685981809028945,1.0614569205175686,-0.004968899084818346,1.0614570267980614,3.0090391545112283e-07,1.0628049285088537e-07,3.19121778470921e-07,3.0090391545112283e-07,21.980128097818998,2.635906000136856e-06,2.635906000136856e-06,1.1992224542595696e-07,21.980133822668293,8.360755295200306e-06,8.360755295200306e-06,3.8037796052109724e-07
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.02337228714524207,2.141433152760933,-2.130713165949018,2.1414335402732703,-2.1307129301911596,3.875123373298095e-07,2.3575785856877474e-07,3.875123373298095e-07,-0.005742129207786162,1.0712838213088745,-0.005742463744331405,1.0712839476651341,3.3453654524340237e-07,1.2635625967760689e-07,3.576039771354701e-07,3.3453654524340237e-07,21.98012769400878,2.2320957810961772e-06,2.2320957810961772e-06,1.0155063877883393e-07,21.980134232398886,8.770485887765744e-06,8.770485887765744e-06,3.990189183843913e-07
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.02671118530884808,2.147847084936898,-2.1358212980101,2.147847491380677,-2.1358210639466275,4.0644377907739226e-07,2.3406347260390703e-07,4.0644377907739226e-07,-0.006499965255686635,1.0809915325943575,-0.0065003123192383105,1.0809916755405644,3.470635516755749e-07,1.4294620687138604e-07,3.7534880705895624e-07,3.470635516755749e-07,21.980127030349173,1.568436175602983e-06,1.568436175602983e-06,7.135701651570451e-08,21.980134041954376,8.580041377825864e-06,8.580041377825864e-06,3.903545224386138e-07
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.03005008347245409,2.1541862090033543,-2.140905150521499,2.154186610182666,-2.140904937154407,4.0117931154881603e-07,2.1336709199459847e-07,4.0117931154881603e-07,-0.00724213454428646,1.0905799568051613,-0.007242470695751346,1.0905801120079708,3.361514648858588e-07,1.552028094931046e-07,3.7025088712852757e-07,3.361514648858588e-07,21.98012620285105,7.409380522460651e-07,7.409380522460651e-07,3.370945509523852e-08,21.980133299336337,7.83742333965165e-06,7.83742333965165e-06,3.5656863529884216e-07
higher_energy_wide_swing,solve_ivp_default,solve_ivp_default,,,0.0333889816360601,2.1604510017167735,-2.1459633725073486,2.1604513732023665,-2.1459631982929013,3.714855929537464e-07,1.7421444731269276e-07,3.714855929537464e-07,-0.007968690477031637,1.1000490116620758,-0.007968991818870785,1.1000491742322787,3.0134183914842794e-07,1.6257020285515011e-07,3.4239739321104897e-07,3.087538058554884e-07,21.980125320592485,1.4132051262549794e-07,-1.4132051262549794e-07,-6.429467969615419e-09,21.980132099456206,6.637543208398711e-06,6.637543208398711e-06,3.019793139898222e-07
