case_name,solver_config,solver_method,rtol,atol,t,lagrangian_theta1_rad,lagrangian_theta2_rad,hamiltonian_theta1_rad,hamiltonian_theta2_rad,abs_theta1_diff_rad,abs_theta2_diff_rad,max_abs_theta_diff_rad,lagrangian_x2,lagrangian_y2,hamiltonian_x2,hamiltonian_y2,abs_x2_diff,abs_y2_diff,second_bob_position_diff,max_bob_position_abs_diff,lagrangian_energy,lagrangian_energy_abs_drift,lagrangian_energy_signed_drift,lagrangian_energy_relative_drift,hamiltonian_energy,hamiltonian_energy_abs_drift,hamiltonian_energy_signed_drift,hamiltonian_energy_relative_drift
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.0,0.08726646259971647,0.12217304763960307,0.08726646259971647,0.12217304763960307,0.0,0.0,0.0,0.20902508615280563,-1.9887408497330674,0.20902508615280563,-1.9887408497330674,0.0,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.0050062578222778474,0.0872600145932064,0.12216451023240035,0.0872600145932064,0.12216451023240035,0.0,0.0,0.0,0.20901018890598994,-1.988742452105193,0.20901018890598994,-1.988742452105193,0.0,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.010012515644555695,0.0872406716650749,0.1221388989985752,0.08724067166508037,0.12213889899856903,5.467848396278896e-15,6.175615574477433e-15,6.175615574477433e-15,0.2089654991581858,-1.9887472583235524,0.20896549915818513,-1.9887472583235524,6.661338147750939e-16,0.0,6.661338147750939e-16,5.440092820663267e-15,-29.28221772416142,3.552713678800501e-15,-3.552713678800501e-15,-1.2132666016853897e-16,-29.282217724161413,3.552713678800501e-15,3.552713678800501e-15,1.2132666016853897e-16
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.015018773466833543,0.08720843708920284,0.12209621690157073,0.08720843708920471,0.12209621690156842,1.8735013540549517e-15,2.3037127760972e-15,2.3037127760972e-15,0.2088910228872036,-1.9887552656945648,0.20889102288720318,-1.988755265694565,4.163336342344337e-16,2.220446049250313e-16,4.718447854656915e-16,1.8596235662471372e-15,-29.282217724161416,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.02002503128911139,0.08716331632112877,0.12203646888063507,0.08716331632100283,0.12203646888077656,1.259409243559162e-13,1.4148404670066839e-13,1.4148404670066839e-13,0.20878677005565038,-1.988766469730508,0.20878677005566537,-1.9887664697305016,1.4988010832439613e-14,6.439293542825908e-15,1.6312724176053692e-14,1.254552017826427e-13,-29.282217724161374,4.263256414560601e-14,4.263256414560601e-14,1.4559199220224678e-15,-29.28221772416142,3.552713678800501e-15,-3.552713678800501e-15,-1.2132666016853897e-16
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.025031289111389236,0.08710531699598341,0.12195966185183944,0.08710531699587538,0.12195966185196307,1.0802470029602773e-13,1.2362333379201118e-13,1.2362333379201118e-13,0.20865275461039373,-1.9887808641518478,0.20865275461040883,-1.9887808641518423,1.509903313490213e-14,5.551115123125783e-15,1.6087127795820738e-14,1.076083666617933e-13,-29.282217724161374,4.263256414560601e-14,4.263256414560601e-14,1.4559199220224678e-15,-29.28221772416141,7.105427357601002e-15,7.105427357601002e-15,2.4265332033707795e-16
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.030037546933667086,0.08703444892685552,0.12186580470809565,0.08703444892694101,0.12186580470800487,8.548717289613705e-14,9.077461005091436e-14,9.077461005091436e-14,0.2084889944816653,-1.9887984408905657,0.20848899448166036,-1.9887984408905692,4.9404924595819466e-15,3.552713678800501e-15,6.0852477539309985e-15,8.515410598874951e-14,-29.282217724161423,7.105427357601002e-15,-7.105427357601002e-15,-2.4265332033707795e-16,-29.282217724161388,2.842170943040401e-14,2.842170943040401e-14,9.706132813483118e-16
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.03504380475594493,0.0869507241020213,0.12175490831992392,0.08695072410219379,0.1217549083197365,1.7248702466332588e-13,1.8741952434453424e-13,1.8741952434453424e-13,0.20829551158198015,-1.9888191900943981,0.20829551158196596,-1.9888191900944059,1.4183099139586375e-14,7.771561172376096e-15,1.6172738304298362e-14,1.718347686363586e-13,-29.28221772416144,2.4868995751603507e-14,-2.4868995751603507e-14,-8.492866211797728e-16,-29.28221772416137,4.618527782440651e-14,4.618527782440651e-14,1.5772465821910067e-15
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.04005006257822278,0.0868541566811948,0.12162698553679886,0.08685415668106337,0.12162698553695012,1.314226505400029e-13,1.5125400931736976e-13,1.5125400931736976e-13,0.20807233180485596,-1.9888431001319988,0.20807233180487517,-1.9888431001319917,1.9206858326015208e-14,7.105427357601002e-15,2.0479025970240002e-14,1.309369279667294e-13,-29.282217724161328,8.881784197001252e-14,8.881784197001252e-14,3.0331665042134743e-15,-29.28221772416137,4.618527782440651e-14,4.618527782440651e-14,1.5772465821910067e-15
low_energy_small_angles,dop853_reference,DOP853,1e-11,1e-13,0.04505632040050063,0.0867447629912869,0.1214820511885272,0.08674476299036217,0.12148205118956308,9.247325127859085e-13,1.0358797153386945e-12,1.0358797153386945e-12,0.2078194850232748,-1.9888701575990422,0.2078194850233818,-1.9888701575989964,1.0699774399824946e-13,4.574118861455645e-14,1.1636482955166202e-13,9.212630658339549e-13,-29.28221772416106,3.552713678800501e-13,3.552713678800501e-13,1.2132666016853897e-14,-29.282217724161402,1.4210854715202004e-14,1.4210854715202004e-14,4.853066406741559e-16
