case_name,solver_config,solver_method,rtol,atol,t,lagrangian_theta1_rad,lagrangian_theta2_rad,hamiltonian_theta1_rad,hamiltonian_theta2_rad,abs_theta1_diff_rad,abs_theta2_diff_rad,max_abs_theta_diff_rad,lagrangian_x2,lagrangian_y2,hamiltonian_x2,hamiltonian_y2,abs_x2_diff,abs_y2_diff,second_bob_position_diff,max_bob_position_abs_diff,lagrangian_energy,lagrangian_energy_abs_drift,lagrangian_energy_signed_drift,lagrangian_energy_relative_drift,hamiltonian_energy,hamiltonian_energy_abs_drift,hamiltonian_energy_signed_drift,hamiltonian_energy_relative_drift
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.0,1.5707963267948966,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,1.0,-1.5,1.0,-1.5,0.0,0.0,0.0,0.0,257.28074047653035,0.0,0.0,0.0,257.28074047653035,0.0,0.0,0.0
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.002506265664160401,1.5957546638366658,-0.01984300466503061,1.5957546638284221,-0.019843004652899385,8.243628002446712e-12,1.2131226578837584e-11,1.2131226578837584e-11,0.9699260031076794,-1.4747489551101631,0.9699260031260784,-1.4747489551187651,1.8398949030995482e-11,8.602007994795713e-12,2.0310486626068292e-11,1.8398949030995482e-11,257.2807404790332,2.5028725758602377e-09,2.5028725758602377e-09,9.728176975954229e-12,257.280740475488,1.0423377716506366e-09,-1.0423377716506366e-09,-4.051363385071261e-12
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.005012531328320802,1.6205137114035568,-0.039279614337871346,1.620513711296537,-0.039279614190714865,1.0701972641413704e-10,1.4715648144481008e-10,1.4715648144481008e-10,0.9398600737282689,-1.4491460776141416,0.9398600739541518,-1.4491460777296972,2.2588297898806786e-10,1.1555556511666509e-10,2.537246712993353e-10,2.2588297898806786e-10,257.28074049115224,1.4621889476984506e-08,1.4621889476984506e-08,5.6832429236258137e-11,257.2807404656725,1.0857831966859521e-08,-1.0857831966859521e-08,-4.220227268760521e-11
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.007518796992481203,1.6450860905897755,-0.05832170091072514,1.645086090469935,-0.05832170074831426,1.1984058190250835e-10,1.624108764142207e-10,1.624108764142207e-10,0.9098088187516494,-1.4232282085924233,0.9098088190037463,-1.4232282087261334,2.520968989117023e-10,1.3371015405994058e-10,2.8536161574330573e-10,2.520968989117023e-10,257.28074048897594,1.244558234247961e-08,1.244558234247961e-08,4.837354836365966e-11,257.28074046493134,1.1599013305385597e-08,-1.1599013305385597e-08,-4.508309982279331e-11
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.010025062656641603,1.669483917262799,-0.07698062880222163,1.6694839167804596,-0.07698062807406039,4.823395016728682e-10,7.281612396381476e-10,7.281612396381476e-10,0.8797774008032014,-1.3970302034201494,0.8797774019397323,-1.3970302039841405,1.1365308694166742e-09,5.639910760635303e-10,1.2687743499205523e-09,1.1365308694166742e-09,257.28074053734235,6.081199899199419e-08,6.081199899199419e-08,2.3636436555398354e-10,257.28074042346964,5.3060716709296685e-08,-5.3060716709296685e-08,-2.062366448845672e-10
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.012531328320802004,1.6937188053266334,-0.09526727548016604,1.6937188043929958,-0.09526727406759017,9.336376116664269e-10,1.4125758757144169e-09,1.4125758757144169e-09,0.8497696869445643,-1.3705851024451554,0.8497696891682963,-1.3705851035733014,2.223731976336296e-09,1.1281460210454952e-09,2.493531100143191e-09,2.223731976336296e-09,257.2807405356042,5.90738409300684e-08,5.90738409300684e-08,2.2960848457079603e-10,257.28074037046787,1.0606248679323471e-07,-1.0606248679323471e-07,-4.122441757466488e-10
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.015037593984962405,1.7178018734054452,-0.11319205898372277,1.7178018727307975,-0.11319205801328476,6.746476710617344e-10,9.704380077302233e-10,9.704380077302233e-10,0.819788375766644,-1.343924285867727,0.819788377311806,-1.3439242866995154,1.5451619983508635e-09,8.317884159225741e-10,1.7548212359128262e-09,1.5451619983508635e-09,257.28074054395705,6.742669711456983e-08,6.742669711456983e-08,2.6207440552947504e-10,257.28074036310466,1.1342569905536948e-07,-1.1342569905536948e-07,-4.408635440230956e-10
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.017543859649122806,1.7417437537503182,-0.13076497076286492,1.7417437541974166,-0.13076497156700415,4.4709835833600664e-10,8.041392274282799e-10,8.041392274282799e-10,0.7898351059649875,-1.3170776133396271,0.7898351046930182,-1.317077612741765,1.2719693076590488e-09,5.978622041880044e-10,1.4054697203508794e-09,1.2719693076590488e-09,257.28074076119066,2.846603024408978e-07,2.846603024408978e-07,1.1064190110525006e-09,257.28074040150716,7.502319476770936e-08,-7.502319476770936e-08,-2.9160050856800576e-10
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.020050125313283207,1.7655546013304322,-0.1479956109428819,1.7655546025559645,-0.14799561293617813,1.2255323422749598e-09,1.993296222524421e-09,1.993296222524421e-09,0.7599105516688958,-1.290073550393402,0.7599105484744592,-1.2900735487501542,3.194436604125883e-09,1.643247760085842e-09,3.5923096217901987e-09,3.194436604125883e-09,257.2807410088484,5.323180403138394e-07,5.323180403138394e-07,2.0690162789794927e-09,257.2807404400414,3.648892743512988e-08,-3.648892743512988e-08,-1.4182533588618332e-10
nonzero_velocity_spirograph,dop853_moderate,DOP853,1e-06,1e-08,0.022556390977443608,1.789244101069967,-0.16489322312173763,1.7892441014264513,-0.16489322369334503,3.5648439755675554e-10,5.716074003014882e-10,5.716074003014882e-10,0.7300145100912137,-1.2629392844496197,0.7300145091681773,-1.2629392839608657,9.230363140488862e-10,4.887539262199425e-10,1.0444503039629809e-09,9.230363140488862e-10,257.2807406864931,2.09962763619842e-07,2.09962763619842e-07,8.160842635595385e-10,257.28074046220615,1.4324200492410455e-08,-1.4324200492410455e-08,-5.567537028181531e-11
